QB1,QB31,QB4,QB7,QFV1,QFV2,HB1,HB31,HB7,HFV1,HFV2,3dHB1,3dHB31,3dHB7,3dHFV1,3dHFV2,1sHB1,1sHB31,1sHB7,1sHFV1,1sHFV2
16,5,14,9,13,6,810.39,782.47,787.24,780.54,784.71,809.99,782.37,787.24,780.59,784.51,809.99,782.27,787.14,780.69,784.51
16,5,14,9,13,6,810.19,782.27,787.34,780.79,784.71,810.19,782.37,787.24,780.59,784.66,809.99,782.27,787.14,780.69,784.51
16,5,14,9,13,6,810.19,782.27,787.34,780.79,784.71,810.39,782.47,787.24,780.54,784.71,809.99,782.27,787.14,780.69,784.51
16,5,14,9,13,6,810.09,782.27,787.34,780.79,784.81,810.39,782.47,787.24,780.54,784.71,809.99,782.27,787.14,780.64,784.51
16,5,14,9,13,6,810.39,782.37,787.94,780.79,784.81,810.19,782.27,787.34,780.79,784.71,809.99,782.37,787.24,780.59,784.51
16,5,14,9,13,6,810.44,782.67,788.14,780.79,784.81,810.19,782.27,787.34,780.79,784.71,810.19,782.37,787.24,780.59,784.66
16,5,14,9,13,6,810.49,782.47,788.24,780.79,784.91,810.09,782.27,787.34,780.79,784.81,810.39,782.47,787.24,780.54,784.71
16,5,14,9,13,4,810.69,782.37,788.34,781.09,787.61,810.39,782.37,787.94,780.79,784.81,810.39,782.47,787.24,780.54,784.71
16,5,14,9,13,4,810.69,782.37,788.34,781.09,787.61,810.44,782.67,788.14,780.79,784.81,810.19,782.27,787.34,780.79,784.71
16,5,14,9,13,4,810.69,782.37,788.34,781.09,787.61,810.49,782.47,788.24,780.79,784.91,810.19,782.27,787.34,780.79,784.71
16,5,14,9,13,4,810.69,782.37,788.24,781.09,787.71,810.69,782.37,788.34,781.09,787.61,810.09,782.27,787.34,780.79,784.81
16,5,14,9,13,4,810.89,782.47,788.29,781.09,787.91,810.69,782.37,788.34,781.09,787.61,810.39,782.37,787.94,780.79,784.81
16,5,14,9,13,6,810.99,782.47,788.54,781.29,785.41,810.69,782.37,788.34,781.09,787.61,810.44,782.67,788.14,780.79,784.81
16,5,14,9,13,6,810.99,782.52,788.64,781.29,785.31,810.69,782.37,788.24,781.09,787.71,810.49,782.47,788.24,780.79,784.91
16,5,14,9,13,6,810.99,782.52,788.64,781.29,785.31,810.89,782.47,788.29,781.09,787.91,810.69,782.37,788.34,781.09,787.61
16,5,14,9,13,6,810.99,782.52,788.64,779.29,785.31,810.99,782.47,788.54,781.29,785.41,810.69,782.37,788.34,781.09,787.61
16,5,14,9,13,6,811.19,782.97,789.04,781.39,785.61,810.99,782.52,788.64,781.29,785.31,810.69,782.37,788.34,781.09,787.61
16,5,14,9,13,6,811.19,782.97,789.04,781.39,785.61,810.99,782.52,788.64,781.29,785.31,810.69,782.37,788.24,781.09,787.71
